id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4815185812918250,,1898907123,痛快舒畅,有些人又拿DCD海豹的圈速数据来说事儿了啊。什么同是后驱入门版，海豹比SL03慢了5秒。先了解一下到底主机厂下放了哪些控制权限给车手？再来说这个成绩。一个可以基本上关掉esp，一个是车本身没有把控制权放给车手。舒马赫来也没用呀。这个视频是转发的，账号见视频。最后看看车手对于两款车的悬挂的评价。#新能源汽车#L痛快舒畅的微博视频,,,,新能源汽车,5,31,38,2022-09-18 23:00,,,"http://f.video.weibocdn.com/o0/FLR08OLBlx07ZjJpQrAQ01041200OSre0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589854&ssig=2kaS3V1p12&KID=unistore,video",
4815185334770300,,6029309616,关你车事gossipcar,发布了头条文章：《月销过万还出口海外，体验比亚迪元PLUS，真的物超所值？》O月销过万还出口海外，体验比亚迪元PLUS，真的物超所值？,http://t.cn/A6SBKlki,,,,0,12,0,2022-09-18 22:58,,,,
4815185170400760,,1655422175,简历义工,有人说，深圳可能是中国头部企业最多的城市。翻一翻就能找出一长串名单：华为做到了通信行业的第一名，比亚迪做到了动力电池领域的第一名，大疆科技做到了无人机领域的第一名，万科做到了房地产行业的第一名，正威做到了有色金属的第一名，招商银行做到了股份制银行的第一名，中集集团做到了航运装备的第一名，中国平安做到了全球保险公司资产规模第一名……（转）,,,,,0,3,2,2022-09-18 22:57,,,,
4815184377679019,,2787328564,Dlhhenry,等车八个星期，一点消息都没有，不是说好的垃圾比亚迪吗，我心态崩了,,,,,0,1,0,2022-09-18 22:54,,['https://wx2.sinaimg.cn/large/a6234234gy1h6b5ebug3qj20n01dsh62.jpg'],,
4815183774226384,,6261062719,wrvickyyyy,喜提车车🚗一辆！#比亚迪#,,临沂,,比亚迪,0,1,3,2022-09-18 22:52,,"['https://wx4.sinaimg.cn/large/006PIMqzly1h6b5bknkdhj32bg340gtk.jpg', 'https://wx4.sinaimg.cn/large/006PIMqzly1h6b5ble2wij32c0340npd.jpg']",,
4815183266191883,,2054988465,Maggie--0914,要清手机内存了，释放下已拍的图片素材拍摄车辆：零跑T03价格：7.95万看完第一感受：求求车主们多对比多看看，再多花3万买比亚迪海豚🐬吧！这车从外观到内饰再到配置再再到续航里程及价格。就想问：啊～，这车谁在买？,,,,,0,4,5,2022-09-18 22:50,,"['https://wx1.sinaimg.cn/large/7a7ca2b1gy1h6b53f2pk5j22c03401ky.jpg', 'https://wx4.sinaimg.cn/large/7a7ca2b1gy1h6b53hf5skj22c0340x6q.jpg', 'https://wx2.sinaimg.cn/large/7a7ca2b1gy1h6b53jj6a1j22c0340kjm.jpg', 'https://wx3.sinaimg.cn/large/7a7ca2b1gy1h6b53dih9nj23402c0e83.jpg', 'https://wx3.sinaimg.cn/large/7a7ca2b1gy1h6b53lt075j23402c0npe.jpg', 'https://wx2.sinaimg.cn/large/7a7ca2b1gy1h6b53o1lz8j23402c0x6q.jpg', 'https://wx4.sinaimg.cn/large/7a7ca2b1gy1h6b53qc3ehj23402c0npe.jpg']",,
4815180820911076,,5097683200,-我的演技也有限-,#比亚迪秦#钥匙上的小铁牌给扔了～,,,,比亚迪秦,0,0,0,2022-09-18 22:40,,['https://wx2.sinaimg.cn/large/005yZmgMly1h6b4yxlv73j31400u0mzz.jpg'],,
4815180334107927,,6612642961,执著的老宋,如前所述，动力电池行业群雄逐鹿，格局未定，竞争十分激烈。展望未来，动力电池行业还会有翻天覆地的变化。LG新能源厚积薄发，发展势头迅猛，特别是在国际市场拓展上有优势，成为宁德时代的挑战者；第二梯队包括松下、三星SDI、SKON、远景动力、比亚迪、国轩高科、蜂巢能源、亿纬锂能、中创新航等。目前来看，瑞浦能源、Northvolt、ACC也很有潜力跻身第二梯队。孚能科技凭借其软包电池技术路线可以占有一定市场份额，但是软包电池还是不太可能成为主流。,,,,,6,0,10,2022-09-18 22:38,,['https://wx1.sinaimg.cn/large/007dvYvDgy1h6b4x9ojlqj30ku0d10tu.jpg'],,
4815179911267087,,6612642961,执著的老宋,中国市场动力电池装机量企业排名参见下表，宁德时代与LG新能源曾在2021年中国市场上展开争夺，最终宁德时代胜出，LG新能源一度跌出榜单。目前宁德时代一家独大，龙头地位稳固，2022年1-7月中国市场份额高达47.6%。然而，竞争对手也是步步紧跟，受益于比亚迪汽车热销，比亚迪装机量稳步攀升，位居第二；黑马中创新航快速扩张，装机量超越国轩高科，位居第三；蜂巢能源在发展战略上坚持创新导向，技术特点鲜明，并且产能扩张激进，装机量爬坡较快，后来居上，有赶超之势；孚能科技押注软包电池小众技术路线，位居第九，这个成绩算是不错；青山集团下属瑞浦能源拥有上游镍钴等资源保障，极具成本优势，短短几年间闯进前十，发展态势良好。,,,,,2,2,5,2022-09-18 22:36,,['https://wx2.sinaimg.cn/large/007dvYvDgy1h6b4vw3kebj30kf0avdi1.jpg'],,
4815179575464090,,1226134960,王敬刮痧,当比亚迪超过了特斯拉就了就有人喷比亚迪，当华为比苹果好于是就有人喷华为。现在C919飞机马上要投入市场运营了，喷C919飞机的人也就多起来了。所以，有人喷中医应该感到高兴，因为不优秀谁会喷你呢？刚看了一个段子，主持人问一位成功人士，为什么不少成功人士都经不住美女诱惑呢？答：因为美女从不会诱惑不成功人士L嘉良刘的微博视频,,,,,18,12,142,2022-09-18 22:35,,,"http://f.video.weibocdn.com/o0/CJWP48vtlx07ZaZrwJp6010412006eTO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589868&ssig=QKJvWZIXjC&KID=unistore,video",
4815178753904706,,1665347254,MJ车谈缪俊,发布了头条文章：《核心技术+优质服务，比亚迪销量飞升的背后密码》O核心技术+优质服务，比亚迪销量飞升的背后密码,http://t.cn/A6SBoCdf,,,,0,0,3,2022-09-18 22:32,,,,
4815178107717417,,6725370797,小品科技,坐标江苏，我想问的是现在比亚迪海豚到底要等多久才能拿车，我看网上看有人等了6个月，实在是太夸张了。不知道现在比亚迪产能有没有提上去，顺便说一下海鸥大概什么时候上市？,,,,,0,0,1,2022-09-18 22:29,,"['https://wx4.sinaimg.cn/large/007l8Yaxly1h6b4of9c65j30qo0imwuz.jpg', 'https://wx2.sinaimg.cn/large/007l8Yaxly1h6b4ofpadvj30qo0id7k9.jpg', 'https://wx3.sinaimg.cn/large/007l8Yaxly1h6b4og25gjj30se0nyn1e.jpg']",,
4815177612265073,,6088199335,我是虫酱呀,比亚迪有没有石家庄汉的车友群，,,石家庄,,,0,1,0,2022-09-18 22:27,,,,
4815175947653256,,5655701730,123dniAa,#生活#VLOG超话#vlog##比亚迪#充电L123dniAa的微博视频,,,,"生活,vlog,比亚迪",0,0,1,2022-09-18 22:21,,,"http://f.video.weibocdn.com/o0/FlHAC88Ulx07ZjGIDxLO01041201007w0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589868&ssig=hAJpTjjMLB&KID=unistore,video",
4815175457179208,,1134551323,电盒校长,海豚的视频有个点忘记说了，那就是A柱海豚的A柱，非常遮挡左右两边视线，再加上海豚的后视镜有点偏小，盲区会比较大在左右转弯的时候，一定要仔细看这两天在开海豚的时候，有一次左转弯，差点出事故#比亚迪海豚#,,,,比亚迪海豚,0,4,4,2022-09-18 22:19,,"['https://wx2.sinaimg.cn/large/439fe11bgy1h6b4de27euj235s2dck66.jpg', 'https://wx3.sinaimg.cn/large/439fe11bgy1h6b4dheeaej235s2dc1kx.jpg']",,
4815174995020213,,1807019022,名之成,【视频】视频中说，比亚迪要接管世界！比亚迪厉害了！#比亚迪##出口##创新#O不只是造车还要造船？比亚迪你这是要干啥？,,,,"比亚迪,出口,创新",0,0,0,2022-09-18 22:17,,,,
4815174801820683,,3033756545,股坛将军V,最近20个交易日：龙湖集团：涨15.4%宁德时代：跌24.74%招商蛇口：涨15.41%比亚迪：跌18.42%绿城中国：涨25.69%隆基股份：跌20.73%保利发展：涨20.98%通威股份：跌13.38%万科：涨13.82%阳光电源：跌21.39%中海发展：涨18.68%天合光能：跌21.98%华润置地：涨13.49%赛力斯：跌3.41%越秀地产：涨15.98%长安汽车：跌22.95%市场风格已经换了！顺势而为！,,,,,0,0,0,2022-09-18 22:16,,,,
4815174651610785,,6323625668,564快带我去吃好吃的,当初也考虑过比亚迪，斟酌再三还是选择了雅迪。18岁，全款拿下，没必要分期。纯靠父母不靠朋友，主要是有那个实力。上个月没工资，收入不到0.01w，条件摆在这里，未来可期。,,,,,0,13,9,2022-09-18 22:16,,"['https://wx3.sinaimg.cn/large/006TXhUogy1h6b47v3j8lj36684moe89.jpg', 'https://wx3.sinaimg.cn/large/006TXhUogy1h6b48gbjduj36684mo1cy.jpg']",,
4815174609668946,,7675070178,小师妹说财经,最近20个交易日：龙湖集团：涨15.4%宁德时代：跌24.74%招商蛇口：涨15.41%比亚迪：跌18.42%绿城中国：涨25.69%隆基股份：跌20.73%保利发展：涨20.98%通威股份：跌13.38%万科：涨13.82%阳光电源：跌21.39%中海发展：涨18.68%天合光能：跌21.98%华润置地：涨13.49%赛力斯：跌3.41%越秀地产：涨15.98%长安汽车：跌22.95%市场风格已经换了！顺势而为！,,,,,0,0,106,2022-09-18 22:15,,,,
4815174290378848,,5655701730,123dniAa,#生活#VLOG#vlog##比亚迪#L123dniAa的微博视频,,,,"生活,vlog,比亚迪",0,3,2,2022-09-18 22:14,,,"http://f.video.weibocdn.com/o0/tU9AsIjXlx07ZjGgDcyI01041200TivC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589881&ssig=Rj5Nw1g6NX&KID=unistore,video",
4815171777990020,,5022500725,csx1985,比亚迪车运用中文按键值得点赞，虽然中文按键没有多少技术含量，但作为国产车，用自己的语言作为按键提示再正常不过了，会更加符合大众消费者的口味。在有车一族中还有许多老百姓不认识英文，有一些高端合资车，上面好多按键都是英文，不明白意思的车主都不敢用，好多功能可能汽车开报废了，车主都没用到过。但采用中文按键就彻底解决了这一问题，按键什么功能一目了然。汽车制造商没有必要追求高大上的畸形心理，使用英文按键，给有车一族造成不必要的麻烦。按键中文化，更适合国人。,,,,,0,13,0,2022-09-18 22:04,,,,
4815171229588222,,2689037485,吴颖碎碎念,我今天发现一个问题，比亚迪海豹，我到目前还没有看到过白色车漆的量产车。（静悄悄透露一下，明天提一台700开一段时间）,,,,,3,8,17,2022-09-18 22:02,,['https://wx2.sinaimg.cn/large/a04774adgy1h6b3vedwlpj20z80nht9a.jpg'],,
4815171208089318,,1688463767,喝水壮吃不胖,比亚迪新款新能源电动汽车如果对新能源车比较感兴趣，延安西路这家比亚迪的4s店可以去逛逛，展厅空间很大，车辆品类齐全，很适合想要换车的你～#比亚迪##新能源#O绿洲L喝水壮吃不胖的微博视频,,上海·上海环态秦汉比亚迪汽车销售有限公司,,"比亚迪,新能源",0,0,0,2022-09-18 22:02,,,"http://oasis.video.weibocdn.com/o2/Hs34Cqfdlx07ZjFqTITS01041200l92a0E012.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589881&ssig=VvfZDXxVIl&KID=unistore,video",
4815170742257000,,6006011212,汪槛,作为新能源汽车领导者，比亚迪一直坚持“技术为王，创新为本”发展理念，在新能源汽车领域不断地探索新技术，为绿色出行带来了更高科技、安全性能更高、舒适度更高的全新驾驶体验，用技术创新满足人们对美好生活的向往。#十二时辰佩刀寻秦记#,,,,十二时辰佩刀寻秦记,0,13,15,2022-09-18 22:00,,,,
4815170729940247,,6616760839,因玥而来,哎呦喂，比亚迪车主也太会玩了吧，看完这组宣传图我承认我既羡慕又心动了，城市中的那丝丝惬意时光！这就是纯电动的优势，露营户外随时可以作为一个移动电源使用，点点星光➕户外野餐已经非常有趣了，这又来了一个户外电影投屏，额，户外越来越时尚，纯电动车越来越吃香！,,,,,0,0,2,2022-09-18 22:00,,"['https://wx1.sinaimg.cn/large/007dNfL1gy1h6b3o9tcqmj30zk0jy1kx.jpg', 'https://wx2.sinaimg.cn/large/007dNfL1gy1h6b3oasb4lj30zk0np1fp.jpg', 'https://wx2.sinaimg.cn/large/007dNfL1gy1h6b3o7dt7hj30zk0jykcl.jpg']",,
4815170675413294,,2516014697,汽车报价,【新一轮价格战来袭，比亚迪唐EV全国最高直降0.88万】比亚迪唐EV近一个月全国最低成交价为28.23万，新车最高现金优惠0.88万元，新车最大折扣达到9.7折。（价格仅供参考，实际成交价以当地经销商为准。）比亚迪唐EV近一个月售出2042辆。口碑：综合了各大媒体以及论坛上消费者对比亚迪唐EV的关注，这款车的口碑综合得分是4.75分，得分最高的：外观。#这车什么价#,,,,这车什么价,0,0,2,2022-09-18 22:00,,"['https://wx4.sinaimg.cn/large/002KgWmdly8h6b3tpd0ydj60hs0bvdi502.jpg', 'https://wx2.sinaimg.cn/large/002KgWmdly8h6b3tpjp5aj60m80njabr02.jpg', 'https://wx3.sinaimg.cn/large/002KgWmdly8h6b3tpqhzcj60m80yxtdd02.jpg', 'https://wx3.sinaimg.cn/large/002KgWmdly8h6b3tpx7dnj60m81rwwms02.jpg', 'https://wx4.sinaimg.cn/large/002KgWmdly8h6b3tq4ub7j60m81knwkh02.jpg']",,
4815170151127764,,5181174995,东木正尔,看了曲家瑞老师的采访说了一句：youshouldproudofyourschool，好奇怪的感觉像我之前虽说不会否定我的学校但也知道它没那么好，我对学校一直有种剥离开的感觉，没有融入但确实在里面生活想了一下，对于工作我也是有这样的剥离感，无论是富士康还是比亚迪，我就像浮萍，只是在这工作，仅仅这样而已，就是你无论何时把我从中摘出来，我都觉得，没有什么大不了的，但它们明明影响了我那么多。,,,,,0,0,2,2022-09-18 21:58,,,,
4815169530104424,,1538083941,笑看白云,因此，有小散终于坐不住了。。。我们是不是错怪@贾跃亭啦?他迟迟不肯量产，这为公司省了多少钱啊？！把#FF91#工厂变成科研所，只研究不量产。。。等那些“造车新势力”亏光了，咱直接上位！当然，留个比亚迪特斯拉当排头兵，也无所谓。。《卖一辆车亏损超10万，蔚来二季度亏损扩大》理想汽车-W每卖一辆车亏损2.3万元，其他造车新势力卖一辆车可能亏损5、6万元，而纯电续航更高、走换电技术路线的蔚来，2022年第二季度平均每卖一辆车更是要亏损超过10万元。O网页链接,,,贾跃亭,FF 91,2,2,0,2022-09-18 21:55,,,,
4815169223661239,,5027028535,卢叔投资,最近20个交易日：龙湖集团：涨15.4%宁德时代：跌24.74%招商蛇口：涨15.41%比亚迪：跌18.42%绿城中国：涨25.69%隆基股份：跌20.73%保利发展：涨20.98%通威股份：跌13.38%万科：涨13.82%阳光电源：跌21.39%中海发展：涨18.68%天合光能：跌21.98%华润置地：涨13.49%赛力斯：跌3.41%越秀地产：涨15.98%长安汽车：跌22.95%市场风格已经换了！顺势而为！,,,,,1,3,158,2022-09-18 21:54,,,,
4815168662406724,,1795430927,优优爱炒股,最近20个交易日：龙湖集团：涨15.4%宁德时代：跌24.74%招商蛇口：涨15.41%比亚迪：跌18.42%绿城中国：涨25.69%隆基股份：跌20.73%保利发展：涨20.98%通威股份：跌13.38%万科：涨13.82%阳光电源：跌21.39%中海发展：涨18.68%天合光能：跌21.98%华润置地：涨13.49%赛力斯：跌3.41%越秀地产：涨15.98%长安汽车：跌22.95%市场风格已经换了！顺势而为！,,,,,0,0,224,2022-09-18 21:52,,,,
4815168099585937,,5948567603,Fairymml,在奥迪比亚迪之间毫不犹豫的选择了雅迪,,,,,0,0,4,2022-09-18 21:49,,"['https://wx3.sinaimg.cn/large/006uzAaLly1h6b3ikk4a7j30p41c0al5.jpg', 'https://wx1.sinaimg.cn/large/006uzAaLly1h6b3i5do1jj31400u0154.jpg']",,
4815165454025563,,6339702778,琪车人_,#琪琪的试驾小Tips#比亚迪作为自主品牌新能源的王者，推出了众多车型，那么比亚迪的唐又该如何选择？是纯电还是混动呢？L琪车人_的微博视频,,,,琪琪的试驾小Tips,0,4,1,2022-09-18 21:39,,,"http://f.video.weibocdn.com/o0/wO4NM40Rlx07ZjDQR14Y01041204mlSn0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589895&ssig=JMNf3RUq9L&KID=unistore,video",
4815164661303614,,5761388685,兔子的车库,发布了头条文章：《阿里巴巴的云计算、苹果的“轻资产”、腾讯“稳如泰山”》腾讯控股hk00700阿里巴巴BABA苹果AAPL贵州茅台sh600519比亚迪sz002594中国平安sh601318招商银行sh600036格力电器sz000651O阿里巴巴的云计算、苹果的“轻资产”、腾讯“稳如泰山”,http://t.cn/A6SBaLQ3,,,,0,0,2,2022-09-18 21:36,,,,
4815162601114055,,1548381445,大飙车-拆车,发布了头条文章：《比亚迪汉DMi：数学高手！平均油耗越看越高兴》O比亚迪汉DMi：数学高手！平均油耗越看越高兴,http://t.cn/A6SBX3yk,,,,0,12,16,2022-09-18 21:28,,,,
4815162034357060,,3061755777,起跑线ggd,邯郸新鲜事#比亚迪##汽车##邯郸身边事##邯郸热门#新浪微博L起跑线ggd的微博视频,,,,"比亚迪,汽车,邯郸身边事,邯郸热门",0,0,0,2022-09-18 21:25,,,"http://f.video.weibocdn.com/o0/3jme3wpElx07ZjCVGhRm010412009pzG0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1663589895&ssig=1YSZW6u8rO&KID=unistore,video",
4815160923655549,,1807884170,任我行147,【壮的平凡生活-比亚迪音响维护】周末，壮将车送售后维护音响。今日加班，中午高价饭。,,,,,0,0,0,2022-09-18 21:21,,,,
